Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
151,Marshall,29,12,17,0.414,-2.21,2.21,8.0,10.0,8,5,4,8,2022,2150,,,0.44,0.326,0.526,50.5,54.4,,4.7,0.483,20.4,,0.306,False
152,Maryland,32,20,12,0.625,16.96,11.68,7.0,9.0,12,4,6,5,2477,2308,,,0.416,0.242,0.512,51.7,50.6,,11.3,0.482,16.7,,0.262,True
153,Maryland-Baltimore County,28,7,21,0.25,-10.29,-6.61,4.0,14.0,2,9,4,11,1684,1787,,,0.315,0.23,0.477,49.4,57.4,,6.8,0.45,18.4,,0.197,False
154,Maryland-Eastern Shore,29,8,21,0.276,-20.86,-10.1,6.0,12.0,3,9,4,11,1704,2016,,,0.368,0.377,0.483,47.4,40.4,,4.3,0.439,20.0,,0.257,False
155,Massachusetts,29,10,19,0.345,-2.31,2.59,4.0,12.0,8,7,2,10,1975,2117,,,0.324,0.346,0.517,49.4,61.8,,8.9,0.494,18.9,,0.205,False
156,McNeese State,27,11,16,0.407,-7.95,-4.66,7.0,9.0,10,3,1,13,2000,2027,,,0.418,0.292,0.529,50.0,49.1,,7.3,0.484,20.9,,0.299,False
157,Memphis,30,22,8,0.733,13.06,5.96,12.0,4.0,15,0,6,5,2172,1959,,,0.383,0.412,0.525,52.3,57.7,,9.1,0.494,15.6,,0.252,True
158,Mercer,30,12,18,0.4,-8.52,-3.11,9.0,11.0,10,2,1,15,2153,2293,,,0.354,0.352,0.531,51.1,54.5,,5.3,0.498,20.1,,0.244,False
159,Miami (FL),30,14,16,0.467,5.38,3.28,4.0,12.0,11,8,3,6,2148,2067,,,0.309,0.296,0.531,51.0,51.2,,6.4,0.499,18.6,,0.218,False
160,Miami (OH),29,18,11,0.621,2.46,1.6,12.0,6.0,10,3,6,6,1823,1791,,,0.421,0.404,0.513,51.0,58.9,,3.5,0.467,16.7,,0.296,False
161,Michigan,34,23,11,0.676,11.79,6.17,8.0,8.0,16,3,3,7,2341,2150,,,0.395,0.314,0.538,53.2,54.1,,8.5,0.502,18.9,,0.275,False
162,Michigan State,30,18,12,0.6,12.15,8.38,12.0,4.0,12,2,5,6,2138,2025,,,0.386,0.312,0.595,51.4,59.0,,3.6,0.555,19.6,,0.298,True
163,Middle Tennessee,29,17,12,0.586,-0.68,-1.71,8.0,6.0,10,3,6,8,2034,1930,,,0.429,0.306,0.536,51.3,47.4,,4.9,0.498,17.4,,0.294,False
164,Milwaukee,31,20,11,0.645,6.43,1.26,13.0,3.0,11,3,8,8,2395,2212,,,0.408,0.327,0.571,52.0,62.2,,6.8,0.538,18.7,,0.287,False
165,Minnesota,30,12,18,0.4,3.73,5.36,3.0,13.0,10,7,1,10,2102,2151,,,0.338,0.306,0.515,51.7,59.7,,8.4,0.477,16.8,,0.242,False
166,Mississippi,28,13,15,0.464,4.18,6.36,5.0,11.0,12,5,1,9,1770,1831,,,0.333,0.335,0.518,47.6,58.3,,4.4,0.491,17.7,,0.217,False
167,Mississippi State,30,26,4,0.867,16.78,6.08,14.0,2.0,12,2,12,0,2318,1997,,,0.406,0.317,0.55,55.4,50.6,,7.5,0.522,17.9,,0.27,True
168,Mississippi Valley State,29,22,7,0.759,-4.39,-12.91,16.0,2.0,14,1,7,5,1979,1750,,,0.296,0.395,0.48,50.2,51.1,,6.4,0.452,15.1,,0.19,False
169,Missouri,30,16,14,0.533,10.67,9.04,9.0,7.0,10,4,5,8,2226,2177,,,0.375,0.34,0.542,53.1,53.8,,7.5,0.505,17.4,,0.266,False
170,Missouri State,33,19,14,0.576,5.07,2.01,9.0,9.0,12,4,4,8,2209,2108,,,0.498,0.241,0.527,53.9,51.5,,8.1,0.48,18.9,,0.342,False
171,Monmouth,33,21,12,0.636,-4.84,-5.65,12.0,6.0,13,0,5,10,2253,2226,,,0.385,0.375,0.529,47.2,60.4,,4.5,0.483,17.3,,0.285,True
172,Montana,28,10,18,0.357,-6.1,-0.91,6.0,8.0,7,7,3,11,1955,2001,,,0.386,0.332,0.542,50.2,50.1,,6.3,0.506,20.8,,0.271,False
173,Montana State,27,14,13,0.519,-4.43,-3.59,6.0,8.0,10,5,2,7,1852,1826,,,0.373,0.325,0.532,48.5,58.8,,5.1,0.507,18.9,,0.238,False
174,Morehead State,29,16,13,0.552,-5.71,-2.9,10.0,6.0,12,2,4,10,2181,2162,,,0.409,0.307,0.57,50.0,56.9,,2.9,0.528,17.1,,0.305,False
175,Morgan State,27,11,16,0.407,-13.22,-10.15,9.0,9.0,8,2,2,11,1854,1937,,,0.436,0.313,0.523,47.3,51.8,,3.2,0.496,20.2,,0.27,False
176,Mount St. Mary's,29,10,19,0.345,-10.77,-6.91,8.0,10.0,6,6,4,12,1958,2070,,,0.318,0.341,0.503,49.0,50.4,,3.5,0.47,17.5,,0.219,False
177,Murray State,34,28,6,0.824,7.22,-3.2,14.0,2.0,15,1,10,4,2730,2342,,,0.363,0.328,0.579,53.2,64.0,,7.4,0.551,16.8,,0.258,True
178,Navy,28,5,23,0.179,-21.66,-5.04,2.0,12.0,3,12,2,10,1575,1977,,,0.303,0.261,0.455,50.9,59.6,,5.4,0.433,24.5,,0.175,False
179,NC State,31,21,10,0.677,18.45,10.61,11.0,5.0,15,3,5,6,2261,2018,,,0.357,0.446,0.573,50.5,59.7,,4.1,0.527,17.5,,0.285,True
180,Nebraska,31,18,13,0.581,12.66,5.08,6.0,10.0,15,3,3,9,2184,1949,,,0.377,0.329,0.564,53.0,56.9,,7.0,0.53,17.8,,0.271,False
181,Nevada,34,25,9,0.735,14.91,5.82,13.0,5.0,15,0,5,8,2579,2257,,,0.417,0.252,0.541,53.9,53.1,,7.8,0.496,15.7,,0.304,True
182,Nevada-Las Vegas,31,18,13,0.581,7.49,5.19,7.0,7.0,12,4,4,8,2294,2210,,,0.424,0.307,0.565,48.7,56.3,,6.0,0.529,18.9,,0.299,False
183,New Hampshire,30,10,20,0.333,-11.42,-6.79,5.0,13.0,3,9,5,10,1811,1950,,,0.34,0.335,0.502,50.1,55.3,,4.6,0.471,21.5,,0.224,False
184,New Mexico,28,14,14,0.5,4.87,3.76,5.0,9.0,14,4,0,9,1948,1839,,,0.418,0.442,0.569,50.9,61.4,,5.9,0.531,17.7,,0.302,False
185,New Mexico State,27,13,14,0.481,-3.34,-1.58,6.0,9.0,8,7,4,7,1784,1774,,,0.352,0.331,0.513,50.6,51.7,,7.9,0.475,18.7,,0.247,False
186,New Orleans,31,17,14,0.548,-2.36,-0.53,9.0,6.0,9,3,4,9,2160,2195,,,0.388,0.286,0.5,49.3,47.8,,6.2,0.467,15.7,,0.249,False
187,Niagara,32,22,10,0.688,3.27,-3.14,13.0,5.0,10,4,10,5,2611,2406,,,0.466,0.342,0.553,52.5,57.1,,7.8,0.502,16.3,,0.346,False
188,Nicholls State,27,6,21,0.222,-20.47,-6.25,1.0,15.0,6,8,0,13,1774,2040,,,0.368,0.354,0.494,49.4,50.1,,2.8,0.454,20.7,,0.253,False
189,Norfolk State,29,12,17,0.414,-15.02,-11.66,10.0,8.0,8,4,3,11,1794,1901,,,0.435,0.328,0.498,48.1,45.7,,4.8,0.444,20.7,,0.313,False
190,North Carolina,30,19,11,0.633,19.4,12.04,8.0,8.0,12,3,4,7,2464,2243,,,0.392,0.29,0.543,52.8,61.3,,6.7,0.51,16.9,,0.269,True
191,North Carolina A&T,28,3,25,0.107,-24.41,-7.84,3.0,15.0,3,7,0,16,1617,2082,,,0.371,0.317,0.43,45.3,45.3,,6.6,0.402,24.9,,0.209,False
192,North Texas,28,13,15,0.464,-6.23,-2.92,8.0,7.0,9,3,4,11,2029,2045,,,0.39,0.315,0.516,51.9,45.1,,8.1,0.487,19.1,,0.25,False
193,Northeastern,30,19,11,0.633,-4.62,-6.19,13.0,5.0,10,3,8,7,2281,2166,,,0.402,0.413,0.519,48.2,51.9,,6.5,0.487,16.7,,0.26,False
194,Northern Arizona,29,15,14,0.517,-4.34,-3.12,7.0,7.0,8,4,6,10,2202,2150,,,0.357,0.37,0.561,49.9,61.5,,7.6,0.527,19.4,,0.257,False
195,Northern Illinois,30,10,20,0.333,-4.31,0.09,5.0,13.0,8,5,1,13,2030,2099,,,0.413,0.365,0.537,51.5,56.8,,8.0,0.507,20.5,,0.271,False
196,Northern Iowa,31,21,10,0.677,6.87,3.21,12.0,6.0,13,3,5,6,2147,2015,,,0.394,0.383,0.55,49.9,56.7,,3.6,0.508,16.6,,0.291,True
197,Northwestern,29,14,15,0.483,4.64,5.91,8.0,8.0,10,3,3,9,1787,1824,,,0.327,0.448,0.534,42.8,68.6,,2.9,0.508,16.4,,0.218,False
198,Northwestern State,28,11,17,0.393,-9.87,-5.23,8.0,8.0,7,4,4,11,2078,2150,75.8,97.5,0.385,0.27,0.504,51.1,57.5,10.2,10.3,0.467,18.6,35.5,0.258,False
199,Notre Dame,32,19,13,0.594,10.7,7.39,9.0,7.0,12,7,6,5,2257,2151,,,0.346,0.406,0.532,48.7,56.7,,7.4,0.493,13.4,,0.252,False
200,Oakland,30,13,17,0.433,-1.01,-0.3,6.0,10.0,8,5,3,11,2236,2219,,,0.377,0.316,0.515,48.3,54.0,,5.9,0.484,15.8,,0.245,False
201,Ohio,30,10,20,0.333,-3.19,-0.19,7.0,11.0,8,4,1,14,2000,2090,,,0.432,0.381,0.518,50.1,52.7,,3.9,0.468,18.9,,0.311,False
202,Ohio State,30,14,16,0.467,1.54,5.04,6.0,10.0,9,7,3,7,1950,2055,,,0.432,0.279,0.524,52.3,51.1,,4.6,0.491,19.0,,0.28,False
203,Oklahoma,31,20,11,0.645,10.53,6.27,8.0,8.0,14,3,3,7,2057,1925,,,0.361,0.354,0.502,48.4,52.7,,10.0,0.467,16.5,,0.242,False
204,Oklahoma State,35,31,4,0.886,20.85,7.23,14.0,2.0,15,0,7,2,2698,2188,,,0.389,0.226,0.583,53.9,56.0,,6.7,0.556,16.8,,0.27,True
205,Old Dominion,29,17,12,0.586,3.93,0.45,11.0,7.0,11,4,5,8,2136,2035,,,0.34,0.332,0.535,51.8,64.7,,5.9,0.499,18.4,,0.245,False
206,Oral Roberts,28,17,11,0.607,-0.06,-1.79,10.0,6.0,10,3,6,7,2265,2133,,,0.397,0.348,0.585,51.2,61.7,,3.4,0.544,17.6,,0.302,False
