season,round,round_num,team1,seed1,score1,team2,seed2,score2,winner,winner_idx,score_diff
2012,R64,1,Missouri,2.0,84.0,Norfolk State,15.0,86.0,Norfolk State,2.0,-2.0
2012,R32,2,Michigan State,1.0,65.0,Saint Louis,9.0,61.0,Michigan State,1.0,4.0
2012,R32,2,New Mexico,5.0,56.0,Louisville,4.0,59.0,Louisville,2.0,-3.0
2012,R32,2,Murray State,6.0,53.0,Marquette,3.0,62.0,Marquette,2.0,-9.0
2012,R32,2,Florida,7.0,84.0,Norfolk State,15.0,50.0,Florida,1.0,34.0
2012,S16,3,Michigan State,1.0,44.0,Louisville,4.0,57.0,Louisville,2.0,-13.0
2012,S16,3,Marquette,3.0,58.0,Florida,7.0,68.0,Florida,2.0,-10.0
2012,E8,4,Louisville,4.0,72.0,Florida,7.0,68.0,Louisville,1.0,4.0
2012,F4,5,Ohio State,2.0,62.0,Kansas,2.0,64.0,Kansas,2.0,-2.0
2012,F4,5,Kentucky,1.0,69.0,Louisville,4.0,61.0,Kentucky,1.0,8.0
2012,Championship,6,Kansas,2.0,59.0,Kentucky,1.0,67.0,Kentucky,2.0,-8.0
2013,R64,1,Indiana,1.0,83.0,James Madison,16.0,62.0,Indiana,1.0,21.0
2013,R64,1,NC State,8.0,72.0,Temple,9.0,76.0,Temple,2.0,-4.0
2013,R64,1,UNLV,5.0,61.0,California,12.0,64.0,California,2.0,-3.0
2013,R64,1,Syracuse,4.0,81.0,Montana,13.0,34.0,Syracuse,1.0,47.0
2013,R64,1,Butler,6.0,68.0,Bucknell,11.0,56.0,Butler,1.0,12.0
2013,R64,1,Marquette,3.0,59.0,Davidson,14.0,58.0,Marquette,1.0,1.0
2013,R64,1,Illinois,7.0,57.0,Colorado,10.0,49.0,Illinois,1.0,8.0
2013,R64,1,Miami (FL),2.0,78.0,Pacific,15.0,49.0,Miami (FL),1.0,29.0
2013,R32,2,Indiana,1.0,58.0,Temple,9.0,52.0,Indiana,1.0,6.0
2013,R32,2,California,12.0,60.0,Syracuse,4.0,66.0,Syracuse,2.0,-6.0
2013,R32,2,Butler,6.0,72.0,Marquette,3.0,74.0,Marquette,2.0,-2.0
2013,R32,2,Illinois,7.0,59.0,Miami (FL),2.0,63.0,Miami (FL),2.0,-4.0
2013,S16,3,Indiana,1.0,50.0,Syracuse,4.0,61.0,Syracuse,2.0,-11.0
2013,S16,3,Marquette,3.0,71.0,Miami (FL),2.0,61.0,Marquette,1.0,10.0
2013,E8,4,Syracuse,4.0,55.0,Marquette,3.0,39.0,Syracuse,1.0,16.0
2013,R64,1,Louisville,1.0,79.0,North Carolina A&T,16.0,48.0,Louisville,1.0,31.0
2013,R64,1,Colorado State,8.0,84.0,Missouri,9.0,72.0,Colorado State,1.0,12.0
2013,R64,1,Oklahoma State,5.0,55.0,Oregon,12.0,68.0,Oregon,2.0,-13.0
2013,R64,1,Saint Louis,4.0,64.0,New Mexico State,13.0,44.0,Saint Louis,1.0,20.0
2013,R64,1,Memphis,6.0,54.0,Saint Mary's,11.0,52.0,Memphis,1.0,2.0
2013,R64,1,Michigan State,3.0,65.0,Valparaiso,14.0,54.0,Michigan State,1.0,11.0
2013,R64,1,Creighton,7.0,67.0,Cincinnati,10.0,63.0,Creighton,1.0,4.0
2013,R64,1,Duke,2.0,73.0,Albany (NY),15.0,61.0,Duke,1.0,12.0
2013,R32,2,Louisville,1.0,82.0,Colorado State,8.0,56.0,Louisville,1.0,26.0
2013,R32,2,Oregon,12.0,74.0,Saint Louis,4.0,57.0,Oregon,1.0,17.0
2013,R32,2,Memphis,6.0,48.0,Michigan State,3.0,70.0,Michigan State,2.0,-22.0
2013,R32,2,Creighton,7.0,50.0,Duke,2.0,66.0,Duke,2.0,-16.0
2013,S16,3,Louisville,1.0,77.0,Oregon,12.0,69.0,Louisville,1.0,8.0
2013,S16,3,Michigan State,3.0,61.0,Duke,2.0,71.0,Duke,2.0,-10.0
2013,E8,4,Louisville,1.0,85.0,Duke,2.0,63.0,Louisville,1.0,22.0
2013,R64,1,Kansas,1.0,64.0,Western Kentucky,16.0,57.0,Kansas,1.0,7.0
2013,R64,1,UNC,8.0,78.0,Villanova,9.0,71.0,UNC,1.0,7.0
2013,R64,1,VCU,5.0,88.0,Akron,12.0,42.0,VCU,1.0,46.0
2013,R64,1,Michigan,4.0,71.0,South Dakota State,13.0,56.0,Michigan,1.0,15.0
2013,R64,1,UCLA,6.0,63.0,Minnesota,11.0,83.0,Minnesota,2.0,-20.0
2013,R64,1,Florida,3.0,79.0,Northwestern State,14.0,47.0,Florida,1.0,32.0
2013,R64,1,San Diego State,7.0,70.0,Oklahoma,10.0,55.0,San Diego State,1.0,15.0
2013,R64,1,Georgetown,2.0,68.0,Florida Gulf Coast,15.0,78.0,Florida Gulf Coast,2.0,-10.0
2013,R32,2,Kansas,1.0,70.0,UNC,8.0,58.0,Kansas,1.0,12.0
2013,R32,2,VCU,5.0,53.0,Michigan,4.0,78.0,Michigan,2.0,-25.0
2013,R32,2,Minnesota,11.0,64.0,Florida,3.0,78.0,Florida,2.0,-14.0
