rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
21,Wisconsin,B10,24-10,127.13359774006102,8,101.53224472215511,49,0.9299494837523785,21,24.85119622232835,10.148803777671649,14.0,6.0,14-6,0.7349315924971718,0.49789317204296085,0.8369909723877068,0.7339011216336324,0.49789317204296085,0.8369909723877068,0.6224518490998513,0.8309838841462547,117.20662537203619,103.16551640994206,117.16038783983555,103.28731803872692,129.45083491911933,102.37529277612103,125.40685644063471,101.71403361795211,0.9174411620527483,18.0,0.027862097460767732,1641.0,1555.0,1367.4625,1.2000329076665721,1.137142700439683,0.0,0.7,5.34682443326012,19,109,68.68076092953832
22,Kansas,B12,23-10,117.72195825467244,58,94.26559246956714,11,0.9279359258552802,22,23.853016961605846,10.146983038394152,12.0,6.0,12-6,0.786702913354757,0.6909782153220358,0.8428044264425347,0.783838726643233,0.6909782153220358,0.8428044264425347,0.5897367160742377,0.6711557226080301,117.67254200881437,101.20832214257504,117.37086017652727,101.17935957405328,120.42089466408308,96.74609699914309,117.1587167561316,96.93215097180456,0.8983898398003192,18.0,0.05248907007084247,1385.0,1325.0,1251.4125,1.1067493732082747,1.0588035519862555,0.0,0.6666666666666666,6.208650156882824,18,64,67.59081944395966
23,Ohio St.,B10,21-12,125.14094454930489,14,101.4634475776783,48,0.9177403306635328,23,21.6847716261132,12.3152283738868,12.0,8.0,12-8,0.7275750736318155,0.4906794082746886,0.8362544677198119,0.7307941425939959,0.4906794082746886,0.8362544677198119,0.6209068426121578,0.8162444620941173,116.5357522854142,102.98072396353088,116.48346447007185,102.87947783131938,127.38328313636819,102.64453092606368,125.59359263468407,101.11684254559795,0.9236430855818127,17.0,-0.019125788097040575,1559.0,1499.0,1318.85,1.1820904575956326,1.1365962770595595,0.0,0.6,2.8592769991826277,32,225,66.1463219295998
24,Saint Mary's,WCC,27-5,119.38696656179602,46,97.46444206359604,22,0.9115853751727891,24,27.601179875460122,5.398820124539876,16.0,2.0,16-2,0.601424457677772,0.5608582419002143,0.6143637910883875,0.6096372424674525,0.5608582419002143,0.6143637910883875,0.7721369619278375,0.814915213164466,111.84798111375572,105.60140520005426,112.09745477045844,105.46952067317828,121.12407750224953,98.32360618047285,113.76407737634918,95.98032787513417,0.8759702725459497,6.0,0.04777497895105698,1403.0,1154.0,1178.2625,1.190736359682159,0.9794082388262377,0.0,0.8888888888888888,4.003603626605798,25,72,65.27518191637888
25,UCLA,B10,23-11,124.51810120749752,17,101.68402910438184,52,0.9113054525356639,25,23.704450605831024,11.295549394168978,13.0,7.0,13-7,0.7139050969356712,0.4861660051086151,0.8193060745955641,0.7166992505510816,0.4861660051086151,0.8193060745955641,0.637560686459802,0.8020295917413864,116.2822206011565,103.46567153143891,116.38582708840319,103.52670722622028,124.97417496160854,102.53910749471872,125.01471870443372,105.13008460366069,0.8799735220225872,15.0,0.019977172994708914,1511.0,1445.0,1295.3625000000002,1.166468845593415,1.115517856970539,0.0,0.65,3.587525077834746,29,128,64.67334941988
26,Iowa,B10,21-12,122.05961055253192,30,100.09514702254457,35,0.9073303699729682,26,21.54241081355673,12.45758918644327,10.0,10.0,10-10,0.6920944635088838,0.41222442727140307,0.8367417153696138,0.697974262108887,0.41222442727140307,0.8367417153696138,0.6402785053033784,0.8403299400363899,115.44421416795247,104.38041886575579,115.47442732872385,104.16144854089039,120.9075893306061,100.51312648183522,121.07212648847342,98.31026209099842,0.9164427389542246,15.0,-0.020393303766902626,1417.0,1395.0,1263.6374999999998,1.12136589805225,1.1039558417663295,0.0,0.5,1.9267353889895487,38,227,63.01359329063001
27,North Carolina,ACC,24-8,121.29077613592423,33,99.90319997607955,32,0.9029879599863327,27,24.635166598510008,8.36483340148999,12.0,6.0,12-6,0.7023262571567375,0.5332435469345213,0.8139036946087684,0.7065718526822591,0.5332435469345213,0.8139036946087684,0.6647845719224376,0.7855452623462368,115.21352275893294,103.96145175064883,115.33286745622142,103.93198548117182,122.99071346877197,102.25786722733821,121.27919874354974,102.30919004178361,0.8761104623750509,14.0,0.07881839043392869,1416.0,1376.0,1232.0,1.1493506493506493,1.1168831168831168,0.0,0.6666666666666666,4.860418884793739,21,23,67.97511760643324
28,Utah St.,MWC,28-6,123.07122862352817,24,101.95028722879405,54,0.897080329974193,28,28.541927645524936,6.458072354475064,15.0,5.0,15-5,0.6430312362021203,0.5135063685926066,0.6962275041601618,0.6498158106132287,0.5135063685926066,0.6962275041601618,0.7674126060744996,0.8450744185569046,112.43749563934757,105.24327079602512,112.64526171138218,105.10231905430649,125.46517130317065,104.03366396854743,121.58862084537782,101.47634101719983,0.8888851464441637,7.0,0.05461051665245675,1630.0,1453.0,1349.2499999999998,1.2080785621641654,1.0768945710579954,0.0,0.75,4.035290317881631,24,59,67.52235221634899
29,Santa Clara,WCC,26-8,124.98197374227585,15,103.64989398989266,79,0.8958772634495052,29,26.513968862966248,8.48603113703375,15.0,3.0,15-3,0.6133509346874955,0.5498336018562,0.6212644739270414,0.6212708289326331,0.5498336018562,0.6212644739270414,0.7575859070859474,0.8148932373707795,111.78376838145586,105.04774932549006,112.02103252618164,104.89571865093042,125.92001597483386,103.14566436383187,121.85358544506246,104.60234892112572,0.8526480939556014,8.0,0.006559783296071764,1569.0,1330.0,1280.9500000000003,1.224872165189898,1.03829189273586,0.0,0.8333333333333334,2.128958478132717,36,157,69.24554845199671
30,Clemson,ACC,24-10,116.47146162319366,69,96.93542783389938,20,0.8920076156494571,30,24.45758918644327,10.542410813556732,12.0,6.0,12-6,0.6818376906405827,0.517913357652638,0.7659433848549193,0.688280338627401,0.517913357652638,0.7659433848549193,0.6788062438666738,0.767611207563885,114.58428407184917,105.08871004353954,114.79786482870784,104.9460368139778,114.82577724749187,95.88492843411804,117.8887175822305,94.25034158282989,0.9291395545900896,11.0,0.03506618369036485,1273.0,1199.0,1169.5374999999997,1.08846445710377,1.025191582142514,0.0,0.6666666666666666,3.108551370547918,31,93,64.26102006065533
