season,round,round_num,team1,team2,seed1,seed2,seed_diff,seed_sum,seed_diff_sq,abs_seed_diff,higher_seed_is_team1,round_x_seeddiff,is_upset_seed,seed1_sq,seed2_sq,seed_product,log_seed_ratio,target,score_diff,SRS_diff,SOS_diff,eFG%_diff,TOV%_diff,SRS_sum,AdjOE_diff,AdjDE_diff,Barthag_diff,AdjTempo_diff,WAB_diff,AdjOE_avg,OE_vs_DE_1,OE_vs_DE_2,AdjDE_avg,AdjTempo_avg,ORtg_diff,Pace_diff,ORB%_diff,Pace_avg,ORtg_avg
2002,S16,3,Duke,Indiana,1.0,5.0,-4.0,6.0,16.0,4.0,1,-12.0,0,1.0,25.0,5.0,1.6094379124341003,0,-1.0,9.719999999999999,-2.92,0.03499999999999992,-1.8999999999999986,48.1,,,,,,,,,,,,,,,
2002,S16,3,Pitt,Kent State,3.0,10.0,-7.0,13.0,49.0,7.0,1,-21.0,0,9.0,100.0,30.0,1.2039728043259361,0,-5.0,1.0099999999999998,2.43,0.0040000000000000036,3.8000000000000007,28.35,,,,,,,,,,,,,,,
2002,E8,4,Indiana,Kent State,5.0,10.0,-5.0,15.0,25.0,5.0,1,-20.0,0,25.0,100.0,50.0,0.6931471805599453,1,12.0,5.520000000000001,9.98,0.006000000000000005,4.099999999999998,32.86,,,,,,,,,,,,,,,
2002,R64,1,Cincinnati,Boston University,1.0,16.0,-15.0,17.0,225.0,15.0,1,-15.0,0,1.0,256.0,16.0,2.772588722239781,1,38.0,29.27,14.559999999999999,0.03600000000000003,-2.299999999999999,19.91,,,,,,,,,,,,,,,
2002,R64,1,UCLA,Ole Miss,8.0,9.0,-1.0,17.0,1.0,1.0,1,-1.0,0,64.0,81.0,72.0,0.11778303565638346,1,22.0,,,,,,,,,,,,,,,,,,,,
2002,R64,1,Miami (FL),Missouri,5.0,12.0,-7.0,17.0,49.0,7.0,1,-7.0,0,25.0,144.0,60.0,0.8754687373538999,0,-13.0,-1.2200000000000006,-1.2699999999999996,-0.038000000000000034,0.6000000000000014,27.22,,,,,,,,,,,,,,,
2002,R64,1,Ohio State,Davidson,4.0,13.0,-9.0,17.0,81.0,9.0,1,-9.0,0,16.0,169.0,52.0,1.1786549963416462,1,5.0,15.530000000000001,6.54,0.030000000000000027,-2.3999999999999986,16.75,,,,,,,,,,,,,,,
2002,R64,1,Gonzaga,Wyoming,6.0,11.0,-5.0,17.0,25.0,5.0,1,-5.0,0,36.0,121.0,66.0,0.6061358035703155,0,-7.0,5.280000000000001,-1.9700000000000002,0.038000000000000034,-0.8000000000000007,22.52,,,,,,,,,,,,,,,
2002,R64,1,Arizona,UC Santa Barbara,3.0,14.0,-11.0,17.0,121.0,11.0,1,-11.0,0,9.0,196.0,42.0,1.540445040947149,1,5.0,11.36,12.520000000000001,0.008000000000000007,-2.400000000000002,22.46,,,,,,,,,,,,,,,
2002,R64,1,Xavier,Hawaii,7.0,10.0,-3.0,17.0,9.0,3.0,1,-3.0,0,49.0,100.0,70.0,0.3566749439387324,1,12.0,4.09,2.9499999999999997,-0.01100000000000001,1.200000000000001,23.73,,,,,,,,,,,,,,,
2002,R64,1,Oklahoma,UIC,2.0,15.0,-13.0,17.0,169.0,13.0,1,-13.0,0,4.0,225.0,30.0,2.0149030205422647,1,8.0,,,,,,,,,,,,,,,,,,,,
2002,R32,2,Cincinnati,UCLA,1.0,8.0,-7.0,9.0,49.0,7.0,1,-14.0,0,1.0,64.0,8.0,2.0794415416798357,0,-4.0,11.45,-4.02,-0.013000000000000012,-3.9000000000000004,37.730000000000004,,,,,,,,,,,,,,,
2002,R32,2,Missouri,Ohio State,12.0,4.0,8.0,16.0,64.0,8.0,0,16.0,1,144.0,16.0,48.0,-1.0986122886681098,1,16.0,-1.92,-0.45999999999999996,-0.006000000000000005,-0.3000000000000007,30.36,,,,,,,,,,,,,,,
