team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
Kansas,4,East,1.0,0.920985,0.521752,0.089337,0.040255,0.012204,0.003001,0.79,1.2658227848101264,0.52,1.771125,0.28,1.8633999999999997,0.12,0.744475,0.05,0.8050999999999999,0.025,0.48816,0.008,0.0
Tennessee,6,Midwest,1.0,0.838555,0.431701,0.202499,0.04401,0.0112,0.002634,0.63,1.5873015873015872,0.35,2.3958714285714287,0.14,3.0835785714285713,0.05,4.04998,0.02,2.2005,0.008,1.4,0.003,0.0
UCLA,7,East,1.0,0.83024,0.380952,0.118808,0.020616,0.006822,0.002064,0.61,1.639344262295082,0.3,2.7674666666666665,0.12,3.1746000000000003,0.04,2.9701999999999997,0.015,1.3744,0.006,0.0,0.002,0.0
Virginia,3,Midwest,1.0,0.964398,0.516097,0.225265,0.044941,0.010469,0.00197,0.85,1.1764705882352942,0.62,1.5554806451612904,0.38,1.35815,0.18,1.2514722222222223,0.08,0.5617625,0.04,0.261725,0.015,0.0
Alabama,4,Midwest,1.0,0.904777,0.365297,0.066971,0.037717,0.009352,0.001869,0.79,1.2658227848101264,0.52,1.7399557692307692,0.28,1.3046321428571426,0.12,0.5580916666666668,0.05,0.75434,0.025,0.0,0.008,0.0
Nebraska,4,South,1.0,0.945455,0.336582,0.080666,0.0237,0.005803,0.001021,0.79,1.2658227848101264,0.52,1.8181826923076922,0.28,1.2020785714285713,0.12,0.6722166666666667,0.05,0.474,0.025,0.0,0.008,0.0
Iowa,9,South,1.0,0.507446,0.079142,0.037364,0.010801,0.0029,0.000457,0.4288571717793944,2.3317786568680807,0.1849972113558172,2.742992698543958,0.06727171322029717,1.176452868694317,0.021022410381342865,1.7773413857984668,0.006727171322029716,0.0,0.0025226892457611435,0.0,0.001,0.0
BYU,6,West,1.0,0.626209,0.270029,0.077809,0.009834,0.001311,0.000289,0.63,1.5873015873015872,0.35,1.7891685714285717,0.14,1.9287785714285715,0.05,1.55618,0.02,0.0,0.008,0.0,0.003,0.0
North Carolina,6,South,1.0,0.76073,0.166689,0.044587,0.00829,0.001833,0.000222,0.63,1.5873015873015872,0.35,2.173514285714286,0.14,1.1906357142857142,0.05,0.89174,0.02,0.0,0.008,0.0,0.003,0.0
Utah St.,9,West,1.0,0.440942,0.04369,0.019884,0.006443,0.000833,0.000177,0.4288571717793944,2.3317786568680807,0.1849972113558172,2.3835061986524084,0.06727171322029717,0.0,0.021022410381342865,0.0,0.006727171322029716,0.0,0.0025226892457611435,0.0,0.001,0.0
Villanova,8,West,1.0,0.559058,0.061444,0.02409,0.007176,0.000921,0.000163,0.51,1.9607843137254901,0.22,2.5411727272727274,0.08,0.76805,0.025,0.0,0.008,0.0,0.003,0.0,0.001,0.0
Clemson,8,South,1.0,0.492554,0.067889,0.023687,0.005167,0.000969,0.000135,0.51,1.9607843137254901,0.22,2.238881818181818,0.08,0.8486125,0.025,0.0,0.008,0.0,0.003,0.0,0.001,0.0
Kentucky,7,Midwest,1.0,0.582673,0.131195,0.034251,0.005033,0.000813,0.000112,0.61,1.639344262295082,0.3,1.9422433333333333,0.12,1.0932916666666668,0.04,0.8562749999999999,0.015,0.0,0.006,0.0,0.002,0.0
Saint Mary's,7,South,1.0,0.680755,0.10415,0.021284,0.004119,0.000803,0.000103,0.61,1.639344262295082,0.3,2.2691833333333333,0.12,0.8679166666666668,0.04,0.0,0.015,0.0,0.006,0.0,0.002,0.0
Georgia,8,Midwest,1.0,0.699498,0.068618,0.022267,0.007645,0.00095,8.2e-05,0.51,1.9607843137254901,0.22,3.1795363636363634,0.08,0.857725,0.025,0.0,0.008,0.0,0.003,0.0,0.001,0.0
Miami (FL),7,West,1.0,0.635847,0.115402,0.032812,0.004055,0.000525,7.9e-05,0.61,1.639344262295082,0.3,2.1194900000000003,0.12,0.9616833333333334,0.04,0.8203,0.015,0.0,0.006,0.0,0.002,0.0
Santa Clara,10,Midwest,1.0,0.417327,0.123568,0.031542,0.004117,0.00059,6.5e-05,0.3606244584051393,2.7729677693590093,0.15556349186104046,2.682679560656712,0.05656854249492381,2.184394268441482,0.01767766952966369,1.7842849673748862,0.005656854249492381,0.0,0.002121320343559643,0.0,0.001,0.0
Tennessee St.,15,Midwest,1.0,0.030466,0.002265,0.000111,2e-06,0.0,0.0,0.15162390716284693,6.595266001989918,0.06540639132514965,0.4657954579476304,0.02378414230005442,0.0,0.007432544468767007,0.0,0.002378414230005442,0.0,0.001,0.0,0.001,0.0
